name,type,episodes,mal_id
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,28701
Given,TV,11,39533
Suzume no Tojimari,Movie,1,50594
Uchuu Senkan Yamato 2199,OVA,26,12029
Tunshi Xingkong 3rd Season,ONA,33,56523
Yubisaki to Renren,TV,12,55866
Katanagatari,TV,12,6594
Kemono no Souja Erin,TV,50,5420
Kingdom 2nd Season,TV,39,17389
Natsume Yuujinchou,TV,13,4081
NHK ni Youkoso!,TV,24,1210
Ookami to Koushinryou II,TV,12,5341
Ashita no Joe,TV,79,2402
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,12,42886
Hibike! Euphonium 2,TV,13,31988
Hunter x Hunter: Original Video Animation,OVA,8,137
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,9989
Boku dake ga Inai Machi,TV,12,31043
Boku no Hero Academia 6th Season,TV,25,49918
Diamond no Ace: Second Season,TV,51,30230
Evangelion Movie 2: Ha,Movie,1,3784
Wu Liuqi: Xuanwu Guo Pian,ONA,10,45556
Kage no Jitsuryokusha ni Naritakute!,TV,20,48316
Meitantei Conan Movie 06: Baker Street no Bourei,Movie,1,1365
Sakamichi no Apollon,TV,12,12531
Kuroko no Basket 3rd Season,TV,25,24415
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,45
86,TV,11,41457
Beck,TV,26,57
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie,12,51805
Initial D Final Stage,TV,4,22507
Steins;Gate: Oukoubakko no Poriomania,Special,1,10863
Shirobako,TV,24,25835
Tenki no Ko,Movie,1,38826
Tokyo Godfathers,Movie,1,759
Yuukoku no Moriarty Part 2,TV,13,43325
Kino no Tabi: The Beautiful World,TV,13,486
Major: World Series,OVA,2,11917
Mushoku Tensei II: Isekai Ittara Honki Dasu,TV,12,51179
Redline,Movie,1,6675
BanG Dream! It's MyGO!!!!!,TV,13,54959
Blue Lock,TV,24,49596
Doukyuusei (Movie),Movie,1,30346
Dr. Stone,TV,24,38691
Gintama: Shinyaku Benizakura-hen,Special,1,9735
Hotarubi no Mori e,Movie,1,10408
Fate/Zero,TV,13,10087
Gin no Saji 2nd Season,TV,11,19363
Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,3002
Shinsekai yori,TV,25,13125
Tsubasa: Tokyo Revelations,OVA,3,2685
Yuru Camp△,TV,12,34798
Koukaku Kidoutai,Movie,1,43
Naruto: Shippuuden,TV,500,1735
Kimetsu no Yaiba: Katanakaji no Sato-hen,TV,11,51019
Kobayashi-san Chi no Maid Dragon S,TV,12,39247
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,32937
Nodame Cantabile,TV,23,1698
Planetes,TV,26,329
Diamond no Ace: Act II,TV,52,38731
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie,4,36371
Hajime no Ippo: Champion Road,Special,1,264
Space☆Dandy 2nd Season,TV,13,23327
Spy x Family Part 2,TV,13,50602
Stranger: Mukou Hadan,Movie,1,2418
Tenkuu no Shiro Laputa,Movie,1,513
Violet Evergarden: Recollections,Special,1,53672
World Trigger 3rd Season,TV,14,44940
Spy x Family Movie: Code: White,Movie,1,53888
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,32188
Tonari no Totoro,Movie,1,523
Kuroshitsuji Movie: Book of the Atlantic,Movie,1,31812
Sennen Joyuu,Movie,1,1033
Dororo,TV,24,37520
Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,10271
Hunter x Hunter: Greed Island Final,OVA,14,139
Bakemono no Ko,Movie,1,28805
Boku no Kokoro no Yabai Yatsu,TV,12,52578
Golden Kamuy 2nd Season,TV,12,37989
Hajime no Ippo: Mashiba vs. Kimura,OVA,1,265
Tanoshii Muumin Ikka,TV,78,2150
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,Special,1,34036
Non Non Biyori Movie: Vacation,Movie,1,36990
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,TV,25,33051
Nodame Cantabile Finale,TV,11,5690
Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,31240
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,37450
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Movie,1,54870
Danshi Koukousei no Nichijou,TV,12,11843
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,TV,11,53111
Youjo Senki Movie,Movie,1,37055
Tengoku Daimakyou,TV,13,53393
Trigun,TV,26,6
Wu Shan Wu Xing: Xichuan Huan Zi Lin,ONA,4,50407
Kamisama Hajimemashita◎,TV,12,25681
Kono Sekai no Katasumi ni,Movie,1,15227
Majo no Takkyuubin,Movie,1,512
Major S3,TV,26,1842
Mimi wo Sumaseba,Movie,1,585
Ookami to Koushinryou,TV,13,2966
Sasaki to Miyano,TV,12,44055
Fate/strange Fake: Whispers of Dawn,Special,1,53127
Haikyuu!! Movie 4: Concept no Tatakai,Movie,1,35111
IDOLiSH7 Third Beat!,TV,13,45577
Bungou Stray Dogs 3rd Season,TV,12,38003
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,372
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie,1,10534
Fruits Basket 1st Season,TV,25,38680
Great Pretender,TV,23,40052
Shoujo Kakumei Utena,TV,39,440
Shoujo Shuumatsu Ryokou,TV,12,35838
SKET Dance,TV,77,9863
xxxHOLiC◆Kei,TV,13,3091
Kaguya-hime no Monogatari,Movie,1,16664
Kuroko no Basket 2nd Season,TV,25,16894
Magi: The Kingdom of Magic,TV,25,18115
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,11977
Major S1,TV,26,627
Meitantei Conan Movie 13: Shikkoku no Chaser,Movie,1,5460
One Piece Movie 14: Stampede,Movie,1,38234
Maison Ikkoku,TV,96,1453
Ninja Kamui,TV,12,56285
ReLIFE: Kanketsu-hen,Special,4,35466
Saiki Kusuo no Ψ-nan: Kanketsu-hen,Special,1,38249
Berserk: Ougon Jidai-hen III - Kourin,Movie,1,12115
Girls & Panzer: Saishuushou Part 4,Movie,1,39167
Horimiya,TV,13,42897
Horimiya: Piece,TV,13,54856
InuYasha: Kanketsu-hen,TV,26,6811
Sono Bisque Doll wa Koi wo Suru,TV,12,48736
Tunshi Xingkong 4th Season,ONA,52,56524
Vanitas no Karte Part 2,TV,12,49114
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,23847
xxxHOLiC Rou,OVA,2,6864
Yojouhan Time Machine Blues,ONA,6,49590
Kotarou wa Hitorigurashi,ONA,10,49909
Liz to Aoi Tori,Movie,1,35677
Major S2,TV,26,558
Major S4,TV,26,3226
Nomad: Megalo Box 2,TV,13,40729
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,19123
Senki Zesshou Symphogear XV,TV,13,32843
Ao Ashi,TV,24,49052
Asobi Asobase,TV,12,37171
Hachimitsu to Clover II,TV,12,1142
Holo no Graffiti,ONA,,44042
Bakuman.,TV,25,7674
Ballroom e Youkoso,TV,24,34636
Bungou Stray Dogs 2nd Season,TV,12,32867
Chihayafuru,TV,25,10800
Dr. Stone: Ryuusui,Special,1,50612
Fate/stay night: Unlimited Blade Works,TV,12,22297
Girls & Panzer Movie,Movie,1,18617
Hunter x Hunter: Greed Island,OVA,8,138
Stand By Me Doraemon 2,Movie,1,40853
Yoru wa Mijikashi Arukeyo Otome,Movie,1,34537
Little Busters! Refrain,TV,13,18195
No Game No Life: Zero,Movie,1,33674
Non Non Biyori Repeat,TV,12,23623
K-On!!,TV,26,7791
Lycoris Recoil,TV,13,50709
Meitantei Conan,TV,,235
Meitantei Conan Movie 20: Junkoku no Nightmare,Movie,1,32005
Precure All Stars Movie F,Movie,1,54650
Aria the Natural,TV,26,962
Black Lagoon: The Second Barrage,TV,12,1519
Cardcaptor Sakura,TV,70,232
Digimon Adventure: Last Evolution Kizuna,Movie,1,38088
Dragon Ball Super: Broly,Movie,1,36946
Dragon Ball Z,TV,291,813
Girls & Panzer: Saishuushou Part 3,Movie,1,39166
Higurashi no Naku Koro ni Kai,TV,24,1889
Initial D Fourth Stage,TV,24,18
Initial D Second Stage,TV,13,186
Yuukoku no Moriarty,TV,11,40911
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1,4107
Toaru Kagaku no Railgun T,TV,25,38481
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1,33323
Made in Abyss Movie 1: Tabidachi no Yoake,Movie,1,37514
Ouran Koukou Host Club,TV,26,853
Akira,Movie,1,47
Dr. Stone: Stone Wars,TV,11,40852
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,25537
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie,4,36370
Haikyuu!! Movie 3: Sainou to Sense,Movie,1,35110
Death Parade,TV,12,28223
Dr. Stone: New World,TV,11,48549
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1,28675
Lupin III: Cagliostro no Shiro,Movie,1,1430
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie,1,42894
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,OVA,1,49521
Noragami Aragoto,TV,13,30503
Kaiba,TV,12,3701
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV,13,39592
Major: Message,OVA,1,9890
Nisemonogatari,TV,11,11597
Paripi Koumei,TV,12,50380
Princess Tutu,TV,38,721
Shokugeki no Souma,TV,24,28171
Tensei shitara Slime Datta Ken,TV,24,37430
Working!!! Lord of the Takanashi,Special,1,31715
Wu Liuqi: Zui Qiang Fa Xing Shi,ONA,10,40784
Black Clover,TV,170,34572
Given: Uragawa no Sonzai,OVA,1,49053
Gridman Universe,Movie,1,50587
IDOLiSH7 Second Beat!,TV,15,37962
Buddy Daddies,TV,12,53411
Eiga Daisuki Pompo-san,Movie,1,41361
Eizouken ni wa Te wo Dasu na!,TV,12,39792
Gankutsuou,TV,24,239
Ginga Eiyuu Densetsu Gaiden,OVA,24,3371
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1,25313
Given Movie 1,Movie,1,40421
Golden Kamuy 4th Season,TV,13,50528
Hinamatsuri (TV),TV,12,36296
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie,1,731
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12,48661
Katekyou Hitman Reborn!,TV,203,1604
Lupin III: Part 5,TV,24,35857
Nodame Cantabile: Paris-hen,TV,11,4477
Seirei no Moribito,TV,26,1827
Skip to Loafer,TV,12,50416
Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,29831
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,TV,13,51096
Douluo Dalu 2nd Season,ONA,237,37822
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,1,10153
Meitantei Conan Movie 05: Tengoku e no Countdown,Movie,1,1364
One Piece Film: Z,Movie,1,12859
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,15323
Quanzhi Gaoshou Specials,ONA,3,37078
Kaze Tachinu,Movie,1,16662
Kidou Senshi Gundam 00,TV,25,2581
Kuragehime,TV,11,8129
Meitantei Conan Movie 14: Tenkuu no Lost Ship,Movie,1,6467
Mirai Shounen Conan,TV,26,302
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,6,40542
Diamond no Ace,TV,75,18689
Fullmetal Alchemist,TV,51,121
Jigokuraku,TV,13,46569
Akatsuki no Yona OVA,OVA,3,30370
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,35608
Detroit Metal City,OVA,12,3702
Doupo Cangqiong: Nian Fan,ONA,104,51039
Durarara!!,TV,24,6746
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special,1,32122
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12,40815
Initial D Fifth Stage,TV,14,15059
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,20899
Stand By Me Doraemon,Movie,1,21469
Toki wo Kakeru Shoujo,Movie,1,2236
Tsurune: Tsunagari no Issha,TV,13,52826
Kamisama Hajimemashita,TV,13,14713
Kidou Senshi Gundam Unicorn,OVA,7,6336
Kono Subarashii Sekai ni Shukufuku wo!,TV,10,30831
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Special,1,1566
Kuroko no Basket: Saikou no Present desu,Special,1,31051
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,32902
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,9130
Serial Experiments Lain,TV,13,339
Baccano! Specials,Special,3,3901
Boku no Hero Academia 2nd Season,TV,25,33486
Gin no Saji,TV,11,16918
Haikyuu!! Movie: Gomisuteba no Kessen,Movie,2,52742
Hajime no Ippo: Boxer no Kobushi,Special,1,12069
Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA,2,17739
Tsubasa: Shunraiki,OVA,2,4938
Tsukimonogatari,Special,4,28025
Uma Musume: Pretty Derby Season 2,TV,13,42941
Zankyou no Terror,TV,11,23283
Shokugeki no Souma: Ni no Sara,TV,13,32282
Skip Beat!,TV,25,4722
Uchouten Kazoku 2,TV,12,34076
Yuusha-Ou GaoGaiGar Final,OVA,8,1382
Kanata no Astra,TV,12,39198
Kidou Senshi Gundam 00 Second Season,TV,25,3927
Kimi wa Houkago Insomnia,TV,13,50796
Kuroko no Basket Movie 4: Last Game,Movie,1,31658
Overlord IV,TV,13,48895
Ansatsu Kyoushitsu,TV,22,24833
Cang Yuan Tu,ONA,26,55655
Fumetsu no Anata e Season 2,TV,20,49709
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,Movie,1,3016
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,Special,1,2951
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA,12,51367
City Hunter 2,TV,63,1471
Gintama: Dai Hanseikai,Special,1,10643
Girls & Panzer: Saishuushou Part 2,Movie,1,38081
Hikaru no Go,TV,75,135
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,10,42429
Hyouka,TV,22,12189
Spy x Family Season 2,TV,12,53887
Toradora!,TV,25,4224
Kodomo no Omocha (TV),TV,102,1486
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,OVA,1,2449
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,TV,12,55813
Meitantei Conan Movie 18: Ijigen no Sniper,Movie,1,21419
No Game No Life,TV,12,19815
One Piece Film: Strong World,Movie,1,4155
Sakura-sou no Pet na Kanojo,TV,24,13759
Kuroko no Basket,TV,25,11771
Kuroshitsuji: Book of Circus,TV,10,22145
Kuroshitsuji: Book of Murder,OVA,2,23317
Kyou kara Ore wa!!,OVA,10,851
Mahoutsukai no Yome,TV,24,35062
Meitantei Conan Movie 08: Ginyoku no Magician,Movie,1,1367
Angel Beats!,TV,13,6547
Doupo Cangqiong: San Nian Zhi Yue,ONA,13,49701
Ginga Eiyuu Densetsu Gaiden (1999),OVA,28,3665
Haikyuu!! Movie 2: Shousha to Haisha,Movie,1,30364
Yowamushi Pedal: Grande Road,TV,24,24277
Tsuki ga Kirei,TV,12,34822
World Trigger 2nd Season,TV,12,40907
Kamisama Hajimemashita OVA,OVA,2,18661
Kidou Senshi Gundam: Tekketsu no Orphans,TV,25,31251
Koukyoushihen Eureka Seven,TV,50,237
Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,1257
Shijou Saikyou no Deshi Kenichi,TV,50,1559
5-toubun no Hanayome ∬,TV,12,39783
Darker than Black: Kuro no Keiyakusha,TV,25,2025
