name,type,episodes,mal_link
Meitantei Conan Movie 26: Kurogane no Submarine,Movie,1,https://myanimelist.net/anime/53540/Meitantei_Conan_Movie_26__Kurogane_no_Submarine
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
One Outs,TV,25,https://myanimelist.net/anime/5040/One_Outs
Psycho-Pass,TV,22,https://myanimelist.net/anime/13601/Psycho-Pass
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
Romeo no Aoi Sora,TV,33,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
Kingdom 2nd Season,TV,39,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
Major S6,TV,25,https://myanimelist.net/anime/7655/Major_S6
Natsume Yuujinchou Go Specials,Special,2,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials
Sasaki to Miyano Movie: Sotsugyou-hen,Movie,1,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
Given,TV,11,https://myanimelist.net/anime/39533/Given
Suzume no Tojimari,Movie,1,https://myanimelist.net/anime/50594/Suzume_no_Tojimari
Uchuu Senkan Yamato 2199,OVA,26,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199
Tunshi Xingkong 3rd Season,ONA,33,https://myanimelist.net/anime/56523/Tunshi_Xingkong_3rd_Season
Katanagatari,TV,12,https://myanimelist.net/anime/6594/Katanagatari
Kemono no Souja Erin,TV,50,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
Natsume Yuujinchou,TV,13,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
